date,description,category,incident_code,pd_district,Latitude,Longitude,dayofweek
2017-12-02,"CONTROLLED SUBSTANCE,SALE 3",DANGEROUS DRUGS,515.0,B,40.84941844700006,-73.90088675199996,Saturday
2017-12-07,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,B,40.90348934600007,-73.85034201899998,Thursday
2017-12-01,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,B,40.85672545800003,-73.86380089099998,Friday
2017-12-22,SALE SCHOOL GROUNDS,DANGEROUS DRUGS,523.0,S,40.62058297400005,-74.16378462499993,Friday
2017-12-12,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,K,40.65713067000007,-73.91976257099996,Tuesday
2017-12-29,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",DANGEROUS DRUGS,503.0,B,40.82451850800004,-73.89784900299998,Friday
2017-12-06,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,Q,40.75416455100003,-73.94465152299993,Wednesday
2017-12-02,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",DANGEROUS DRUGS,503.0,K,40.67631430800003,-74.00593555699999,Saturday
2017-12-03,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,B,40.83665251900004,-73.90714329499998,Sunday
2017-12-23,"CONTROLLED SUBSTANCE, POSSESSION 7",DANGEROUS DRUGS,511.0,K,40.67060150300006,-73.90465640199994,Saturday
2017-12-18,"CONTROLLED SUBSTANCE, POSSESSION 7",DANGEROUS DRUGS,511.0,S,40.62790328400007,-74.11101065699995,Monday
2017-12-28,"CONTROLLED SUBSTANCE, POSSESSION 4",DANGEROUS DRUGS,505.0,Q,40.66527202500003,-73.73634800699995,Thursday
2017-12-02,"CONTROLLED SUBSTANCE,SALE 3",DANGEROUS DRUGS,515.0,B,40.85810082700005,-73.90191494099997,Saturday
2017-12-22,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,K,40.63039297300003,-73.89500098099995,Friday
2017-12-20,"MARIJUANA, POSSESSION 1, 2 & 3",DANGEROUS DRUGS,568.0,B,40.88377378300004,-73.89166428299995,Wednesday
2017-12-07,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,K,40.672567836000034,-73.99882622399997,Thursday
2017-12-09,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,Q,40.75780738200007,-73.94581439099994,Saturday
2017-12-13,"CONTROLLED SUBSTANCE, POSSESSION 7",DANGEROUS DRUGS,511.0,Q,40.702287443000046,-73.78045087399995,Wednesday
2017-12-07,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,M,40.739427498000055,-74.00386624399994,Thursday
2017-12-09,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,S,40.62617965800007,-74.13408879799994,Saturday
2017-12-28,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,B,40.82027627300005,-73.89600928499993,Thursday
2017-12-06,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,M,40.79501283900004,-73.93613752499994,Wednesday
2017-12-27,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,M,40.81806387300003,-73.95541164599996,Wednesday
2017-12-29,"MARIJUANA, POSSESSION 1, 2 & 3",DANGEROUS DRUGS,568.0,B,40.86970365100007,-73.86722364999997,Friday
2017-12-29,"CONTROLLED SUBSTANCE, POSSESSION 7",DANGEROUS DRUGS,511.0,Q,40.70295991500007,-73.80482942999998,Friday
2017-12-12,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,Q,40.68430712800006,-73.78519737099998,Tuesday
2017-12-22,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,B,40.85549873000008,-73.86866904299995,Friday
2017-12-06,"MARIJUANA, POSSESSION 1, 2 & 3",DANGEROUS DRUGS,568.0,K,40.603000844000064,-73.97323002199995,Wednesday
2017-12-10,"CONTROLLED SUBSTANCE, POSSESSION 7",DANGEROUS DRUGS,511.0,K,40.59406298000005,-73.96086869299995,Sunday
2017-12-23,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,B,40.855054860000045,-73.89044224299995,Saturday
2017-12-01,"CONTROLLED SUBSTANCE, POSSESSION 7",DANGEROUS DRUGS,511.0,B,40.82283733700007,-73.91657111599994,Friday
2017-12-08,"CONTROLLED SUBSTANCE,SALE 3",DANGEROUS DRUGS,515.0,B,40.839961352000046,-73.87650243699994,Friday
2017-12-18,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,M,40.79772716600007,-73.94650786199998,Monday
2017-12-03,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,M,40.79787150300007,-73.94411676299995,Sunday
2017-12-08,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",DANGEROUS DRUGS,503.0,B,40.866810040000075,-73.88442837499997,Friday
2017-12-15,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,Q,40.69580037400005,-73.75927837399996,Friday
2017-12-06,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,B,40.89812471600004,-73.85343595899997,Wednesday
2017-12-12,"CONTROLLED SUBSTANCE,SALE 3",DANGEROUS DRUGS,515.0,M,40.83718887600002,-73.94260204399995,Tuesday
2017-12-28,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,Q,40.74314615200007,-73.91584810199998,Thursday
2017-12-22,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,B,40.819795672000055,-73.92802435699997,Friday
2017-12-29,"MARIJUANA, SALE 1, 2 & 3",DANGEROUS DRUGS,570.0,K,40.66409999900003,-73.94338897799997,Friday
2017-12-08,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,K,40.68228888700002,-73.98523333799993,Friday
2017-12-12,POSSESSION HYPODERMIC INSTRUMENT,DANGEROUS DRUGS,509.0,M,40.74150630300005,-73.97973860099995,Tuesday
2017-12-24,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,B,40.82117169600008,-73.92104251199999,Sunday
2017-12-14,"MARIJUANA, SALE 4 & 5",DANGEROUS DRUGS,569.0,M,40.85022278400004,-73.93125903099997,Thursday
2017-12-18,"CONTROLLED SUBSTANCE, POSSESSION 7",DANGEROUS DRUGS,511.0,K,40.63720380900003,-74.00778765199995,Monday
2017-12-28,"CONTROLLED SUBSTANCE, POSSESSION 7",DANGEROUS DRUGS,511.0,Q,40.70398299000003,-73.90412536599996,Thursday
2017-12-20,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,S,40.61141440500006,-74.08277136199997,Wednesday
2017-12-12,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",DANGEROUS DRUGS,503.0,S,40.64075491800003,-74.07674708799993,Tuesday
2017-12-29,"CONTROLLED SUBSTANCE, POSSESSION 7",DANGEROUS DRUGS,511.0,B,40.82966396200004,-73.917285253,Friday
2017-12-13,"CONTROLLED SUBSTANCE, POSSESSION 7",DANGEROUS DRUGS,511.0,Q,40.75557600300005,-73.79171004799997,Wednesday
2017-12-22,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,B,40.80653810100006,-73.918910596,Friday
2017-12-03,"CONTROLLED SUBSTANCE, POSSESSION 5",DANGEROUS DRUGS,507.0,B,40.81133007000005,-73.91466369799997,Sunday
2017-12-01,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",DANGEROUS DRUGS,503.0,M,40.81295090700007,-73.94982641899996,Friday
