date,description,category,incident_code,pd_district,Latitude,Longitude,dayofweek
2008-12-10,"CONTROLLED SUBSTANCE,SALE 3",DANGEROUS DRUGS,515.0,K,40.64399410000003,-74.01148555899994,Wednesday
2008-12-15,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,M,40.80962885300004,-73.94197557899997,Monday
2008-12-13,"CONTROLLED SUBSTANCE,SALE 3",DANGEROUS DRUGS,515.0,M,40.80253953400006,-73.95493803499993,Saturday
2008-12-12,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,M,40.717669485000044,-73.99047067299993,Friday
2008-12-06,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,M,40.73035877900003,-73.99482382999997,Saturday
2008-12-27,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,Q,40.767703246000046,-73.87614183799997,Saturday
2008-12-17,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,K,40.67140715000005,-73.92948225299993,Wednesday
2008-12-22,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,K,40.66554400800004,-73.86706772699995,Monday
2008-12-23,"CONTROLLED SUBSTANCE,SALE 3",DANGEROUS DRUGS,515.0,B,40.83341832600007,-73.91300198099998,Tuesday
2008-12-23,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,K,40.64576137500006,-73.95406015099996,Tuesday
2008-12-28,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,K,40.69706959500007,-73.91932142099995,Sunday
2008-12-26,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,B,40.83880598400003,-73.86917542699997,Friday
2008-12-12,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,M,40.73324912000004,-74.00070505699995,Friday
2008-12-16,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",DANGEROUS DRUGS,503.0,B,40.87337798700002,-73.88708546399994,Tuesday
2008-12-31,"CONTROLLED SUBSTANCE, POSSESSION 7",DANGEROUS DRUGS,511.0,M,40.71648666300007,-73.99282283099996,Wednesday
2008-12-31,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,K,40.68616574200007,-73.92503883899997,Wednesday
2008-12-31,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2",DANGEROUS DRUGS,508.0,M,40.72531640900007,-74.00921221899995,Wednesday
2008-12-30,"CONTROLLED SUBSTANCE, POSSESSION 7",DANGEROUS DRUGS,511.0,Q,40.75439761300004,-73.89652359899996,Tuesday
2008-12-31,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,Q,40.58646552900007,-73.81652172299994,Wednesday
2008-12-31,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,M,40.72533274800003,-73.97267218299999,Wednesday
2008-12-31,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,Q,40.70334997200007,-73.80020457099994,Wednesday
2008-12-31,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,M,40.72531640900007,-74.00921221899995,Wednesday
2008-12-31,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,Q,40.75416455100003,-73.94465152299993,Wednesday
2008-12-31,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,567.0,K,40.68342224200006,-73.92281368799998,Wednesday
2008-12-31,"CONTROLLED SUBSTANCE, POSSESSION 7",DANGEROUS DRUGS,511.0,M,40.84514773600006,-73.93587615099993,Wednesday
